KB,AQI0,AQI1,AQI2,AQI3,Label0,Label1,Label2,Label3,Change1,Change2,Change3
2013-06-06T03,64,64,64,69,1,1,1,1,1-1,1-1,1-1
2013-06-06T04,63,64,64,69,1,1,1,1,1-1,1-1,1-1
2013-06-06T05,63,64,64,69,1,1,1,1,1-1,1-1,1-1
2013-06-06T06,62,64,65,69,1,1,1,1,1-1,1-1,1-1
2013-06-06T07,63,64,65,68,1,1,1,1,1-1,1-1,1-1
2013-06-06T08,64,64,67,68,1,1,1,1,1-1,1-1,1-1
2013-06-06T09,64,64,69,68,1,1,1,1,1-1,1-1,1-1
2013-06-06T10,64,64,69,70,1,1,1,1,1-1,1-1,1-1
2013-06-06T11,64,64,69,67,1,1,1,1,1-1,1-1,1-1
2013-06-06T12,64,65,69,67,1,1,1,1,1-1,1-1,1-1
2013-06-06T13,64,65,68,66,1,1,1,1,1-1,1-1,1-1
2013-06-06T14,64,67,68,63,1,1,1,1,1-1,1-1,1-1
2013-06-06T15,64,69,68,63,1,1,1,1,1-1,1-1,1-1
2013-06-06T16,64,69,70,62,1,1,1,1,1-1,1-1,1-1
2013-06-06T17,64,69,67,60,1,1,1,1,1-1,1-1,1-1
2013-06-06T18,65,69,67,59,1,1,1,1,1-1,1-1,1-1
2013-06-06T19,65,68,66,59,1,1,1,1,1-1,1-1,1-1
